
[00:00:00.000 --> 00:00:04.240]   Aloha everyone and welcome to another video by me K Elmer and in this video
[00:00:04.240 --> 00:00:12.640]   I'd like to share with you my go-to electrohealing technique that I use whenever I am sick or whenever my daughter is sick
[00:00:12.640 --> 00:00:19.040]   And it is called blood electrification and that's exactly what it does. It's literally passing electricity
[00:00:19.040 --> 00:00:25.160]   through your bloodstream and the effects of doing that are very remarkable and
[00:00:25.440 --> 00:00:31.100]   Let's get into that detail here. First. Obviously, there's some disclaimers. Clearly. This is not medical advice
[00:00:31.100 --> 00:00:34.520]   I'm not here to treat or diagnose or anything like that
[00:00:34.520 --> 00:00:38.680]   This video is about a technique that literally has been going for decades
[00:00:38.680 --> 00:00:45.040]   And this is the history and the background the patents and and and basically how you do it
[00:00:45.040 --> 00:00:49.360]   What you where you can get these devices and so forth. It is not medical advice
[00:00:49.360 --> 00:00:54.680]   So from that, I'd like to also let you know that I'm gonna do a little bit of a different format of my videos
[00:00:55.360 --> 00:00:59.800]   Because there's such a wealth of information already been documented about this topic
[00:00:59.800 --> 00:01:04.320]   I thought it'd be kind of like you know a little pointless to kind of reinvent the wheel when there's so much
[00:01:04.320 --> 00:01:08.920]   Information already on blood electrification. So I'd rather just walk you through a summary
[00:01:08.920 --> 00:01:12.720]   High-level cliff notes not for shit watching one hour video
[00:01:12.720 --> 00:01:16.360]   But just kind of say hey, this is what it's all about. How do you do it where to find it?
[00:01:16.360 --> 00:01:22.280]   And then you guys can you know, I'll give you all the links and everything in the video description walk you through the various websites
[00:01:22.720 --> 00:01:27.480]   Tell you everything I know if I can remember to say it. You know, these are non-scripted in
[00:01:27.480 --> 00:01:31.080]   And and just little I just wanted to share and that's what I do
[00:01:31.080 --> 00:01:37.920]   I share what I know and I thought you you might find this interesting if you've never heard about about this technique
[00:01:37.920 --> 00:01:42.440]   So let's just jump right in to the the the information here
[00:01:42.440 --> 00:01:45.840]   Okay, about the story of blood electrification of this
[00:01:45.840 --> 00:01:50.800]   Story right here is on a great website called educate yourself org
[00:01:51.240 --> 00:01:55.480]   And it is this is a great website to learn about a lot of other things
[00:01:55.480 --> 00:02:02.480]   But in the in specific to blood electrification, I mean, it's it's it's like I said earlier. It is absolutely not a new thing
[00:02:02.480 --> 00:02:08.920]   The idea of using electricity to try to heal, you know, any type of organisms
[00:02:08.920 --> 00:02:12.920]   Up to including humans has been around for over a hundred years
[00:02:12.920 --> 00:02:16.000]   You can go back and find all sorts of different
[00:02:16.640 --> 00:02:21.720]   Machines and technology that was created at the you know at the end of the 18th century
[00:02:21.720 --> 00:02:28.440]   And that people were trying to figure out, you know, how could electricity help people and you know and since then like I said in my last video
[00:02:28.440 --> 00:02:34.520]   I mean you go into a hospital today and there's tons of different devices that are electrical devices that are used in the healing arts
[00:02:34.520 --> 00:02:40.600]   But to this specific one it was kind of you know, there's lots of older patents all sorts of different types of equipment
[00:02:40.600 --> 00:02:45.400]   But it never really popped up onto the scene of oh, let's try this out. Let's really get into this
[00:02:46.160 --> 00:02:50.920]   Until a couple of scientists at the Albert Einstein College of Medicine in New York
[00:02:50.920 --> 00:02:56.160]   Back in the fall of 1990 and I'm not gonna get into all of this you can read this yourself obviously
[00:02:56.160 --> 00:03:02.120]   But when these two guys did a lot of experiments and they came out with a modality
[00:03:02.120 --> 00:03:08.040]   They came out with results from their experiments that indicated that when you basically put
[00:03:08.040 --> 00:03:16.120]   electricity at 50 to 100 micro amp fears, okay, that's really really really low power and you put that
[00:03:16.160 --> 00:03:21.760]   And you run that through that, you know, you're basically blood renal red blood cells
[00:03:21.760 --> 00:03:25.360]   And they watched the blood under a microscope as they passed the current
[00:03:25.360 --> 00:03:31.280]   And they were able to then find out that it literally would
[00:03:31.280 --> 00:03:35.960]   disable any type of living pathogen in the blood
