
[00:00:00.000 --> 00:00:05.200]   Aloha everyone and welcome to another carbon 60 video by me K Elmer and this video
[00:00:05.200 --> 00:00:10.280]   I just like to take a look at C 60 a year in review market trends
[00:00:10.280 --> 00:00:14.720]   Pricing and some of the new studies that have come out in the last 12 months
[00:00:14.720 --> 00:00:19.160]   So figured you might be interested in this if you're taking C 60 and let's jump right in
[00:00:19.160 --> 00:00:24.680]   So real quick disclaimers. I just want to stipulate. I have no affiliation with any C 60 company
[00:00:25.160 --> 00:00:32.240]   Don't own anything. Don't sell anything that sort of thing. And again, I just want to remind everybody whenever I'm talking about C 60
[00:00:32.240 --> 00:00:35.740]   That C 60s as a supplement is still very experimental
[00:00:35.740 --> 00:00:40.480]   It's not been approved by the FDA or F EFSA and at the end of the day, you know
[00:00:40.480 --> 00:00:45.820]   Just remember if you're taking C 60 you are the human trial and until some of those get published
[00:00:45.820 --> 00:00:50.760]   We really don't know so keep that in mind. It's still experimental. All right, so let's jump right in
[00:00:50.760 --> 00:00:53.680]   You know over the last year and even over the last five years
[00:00:53.680 --> 00:00:59.840]   You know taking a look at the Google trends for people searching on C 60. It really has not changed
[00:00:59.840 --> 00:01:02.520]   It's sort of like if you did a logarithmic
[00:01:02.520 --> 00:01:08.680]   You know analysis of the trend line here in terms of people typing in C 60 in Google to try to find out
[00:01:08.680 --> 00:01:10.960]   You know obviously search on it, you know, it's gonna be flat
[00:01:10.960 --> 00:01:16.840]   So literally over the fast last five years since it kind of got popular back in at the end of 2017
[00:01:16.840 --> 00:01:20.520]   It became a little bit more popular. Well, actually a lot more popular than it was
[00:01:21.000 --> 00:01:24.600]   But since 2017 there really hasn't been other than that initial spike
[00:01:24.600 --> 00:01:28.580]   At the very beginning of at the end of 2017 early 2018
[00:01:28.580 --> 00:01:31.920]   There hasn't really been a whole lot more interest in it
[00:01:31.920 --> 00:01:35.120]   And you know in retrospect when you try to take a look at you know
[00:01:35.120 --> 00:01:40.880]   If you're if you're one of the individuals who sell C 60 or your adamant that it's such a great anti-aging bio hack
[00:01:40.880 --> 00:01:44.720]   You know supplement to take, you know, you take a look at and you go
[00:01:44.720 --> 00:01:48.840]   Well, why hasn't it been growing other than other than that first spur and really, you know
[00:01:48.840 --> 00:01:54.940]   if you just kind of search on YouTube and this is my opinion, but you know, there's just it's just not a lot of
[00:01:54.940 --> 00:02:02.520]   promotion, you know, you know, you've got, you know, Chris from SES you've got Ken from Purple Power and you've got
[00:02:02.520 --> 00:02:09.100]   I.N. from Wizard's Science and those are the three main guys that are out there producing C 60 and putting the word out about how
[00:02:09.100 --> 00:02:14.920]   Great C 60 is and you know, but they're just not reaching the audience that they need to get to so you know
[00:02:14.920 --> 00:02:16.920]   It is really kind of interesting in that regard
[00:02:17.320 --> 00:02:21.360]   But yeah, it's flatline. It really isn't much growing on you take a look at the top, you know
[00:02:21.360 --> 00:02:27.580]   Just for the U.S. You take a look at the top, you know, five states that are doing, you know, where the searchers are coming from and it is a real
[00:02:27.580 --> 00:02:31.540]   Interesting that the highest number of the top five
[00:02:31.540 --> 00:02:39.460]   States that are people in their states are actually Googling for C 60 number one is North Dakota, Kansas, Iowa
[00:02:39.460 --> 00:02:43.420]   So it is interesting, you know that there's this audience in the Midwest
[00:02:43.680 --> 00:02:47.600]   That's way more interested in C 60 than, you know, the liberal coast
[00:02:47.600 --> 00:02:52.320]   So, you know, it is kind of interesting, but that's the trend that's it's just not growing and until you know
[00:02:52.320 --> 00:02:59.760]   If you're out there and you're one of the producers, you know until you guys really need to reach a much bigger audience get with the health influencers
