
[00:00:00.000 --> 00:00:05.760]   Aloha everyone and welcome to another carbon 60 video. I'm your host K. Elmer and in this video
[00:00:05.760 --> 00:00:10.640]   I just want to walk you through the updated carbon 60 market price guide
[00:00:10.640 --> 00:00:13.560]   You know, it's something that I started four years ago
[00:00:13.560 --> 00:00:18.720]   It's just a list to keep track of who is selling C60 and then what kind of oils and etc
[00:00:18.720 --> 00:00:24.640]   And it's kind of just turned into this thing that I do every year where I just walk you through everything
[00:00:24.640 --> 00:00:26.280]   That's tied to C60
[00:00:26.280 --> 00:00:32.440]   And what it's you know, what the prices are for it for those of you who've been hanging out with me for a few years
[00:00:32.440 --> 00:00:36.680]   This is the annual update. You know, it got so big. I only do it once a year now
[00:00:36.680 --> 00:00:43.200]   For those of you who are new and looking to purchase C60 products, this is the list
[00:00:43.200 --> 00:00:48.480]   So let me just jump right in, you know in terms of the list of who sells what and for what? Okay
[00:00:48.480 --> 00:00:54.760]   All right, so this is the list and and just for you that haven't seen it before I kind of broke it into
[00:00:55.240 --> 00:01:02.920]   You know, the main sellers of the C60 in olive oil and then over here on this side is if they sell
[00:01:02.920 --> 00:01:10.940]   C60 in other oils avocado MCT sunflower hemp pumpkin seed oil or miscellaneous
[00:01:10.940 --> 00:01:19.240]   And then there's the notes that accompany that it is arranged in the lowest to highest price per table spoon
[00:01:19.240 --> 00:01:21.440]   Which is the typical?
[00:01:21.880 --> 00:01:28.140]   Serving, you know serving slash dosage is a tablespoon, which is 15 milliliters by the way
[00:01:28.140 --> 00:01:31.640]   There is no standard for sizes of bottles
[00:01:31.640 --> 00:01:37.080]   So you know and but the most standard that I can kind of like you know apples to apples compare things
[00:01:37.080 --> 00:01:41.040]   Is either a hundred milliliter bottle or a four ounce bottle?
[00:01:41.040 --> 00:01:45.720]   So you'll see prices by size broken out like that
[00:01:46.240 --> 00:01:54.940]   And then of course you've got your purities of the C60 that they say that they you know are using and what the saturation rates are
[00:01:54.940 --> 00:01:58.560]   The industry benchmark is point eight and then it goes up from there
[00:01:58.560 --> 00:02:04.280]   And then the idea here on this column right there is just for you market guys that are in the industry
[00:02:04.280 --> 00:02:10.320]   I keep tracks of if the variance of the price has gone up or down. All right, so let's just jump in now
[00:02:10.320 --> 00:02:16.500]   This is the C60 olive oil sellers. There's other oils as well and I'll walk you through that so you understand how this
[00:02:16.500 --> 00:02:22.160]   Spreadsheet works basically here's the list and you know, it's a lot longer than 12
[00:02:22.160 --> 00:02:27.160]   It is probably three times that big if you just consider all the products
[00:02:27.160 --> 00:02:30.260]   But this year it just got to be unmanageable
[00:02:30.260 --> 00:02:36.120]   So what I tried to do and to be the best of my ability was I weed out all of the resellers
[00:02:36.120 --> 00:02:43.280]   Okay, so these are a list of people who produce C60 oils and that's what they sell on their websites
[00:02:43.280 --> 00:02:50.880]   They don't sell, you know, like, you know, socks and and and herbs and all this other stuff. They just sell C60
[00:02:50.880 --> 00:02:54.160]   Primarily, that's their thing, you know, the C60 products
[00:02:54.160 --> 00:02:57.720]   So and so these are not resellers. These are actual manufacturers
[00:02:57.720 --> 00:03:02.320]   And so here's the list of them again, you know, it is it is arranged by price
[00:03:02.880 --> 00:03:06.640]   Per quote serving. That's my definition of serving. It's a tablespoon
[00:03:06.640 --> 00:03:11.240]   So you've got lowest to highest and here's all the prices and and this is for olive oil
[00:03:11.240 --> 00:03:11.480]   Okay
