
[00:00:00.000 --> 00:00:04.720]   Aloha everyone and welcome to another carbon 60 video. I'm your host Kay Elmer and this video
[00:00:04.720 --> 00:00:12.960]   I'd like to share with you my research on the use of C60 in farming and how I got this idea was I was just reading some random C60 studies
[00:00:12.960 --> 00:00:15.360]   Yeah, I know I do that and
[00:00:15.360 --> 00:00:18.240]   I came across a study on
[00:00:18.240 --> 00:00:23.680]   Scientists had it tested C60 supplementation on pigs and the results were pretty amazing
[00:00:23.680 --> 00:00:29.760]   And so it got me thinking, you know, what else can C60 do in the area of farming that could really be?
[00:00:30.240 --> 00:00:32.720]   true game changer in terms of
[00:00:32.720 --> 00:00:38.720]   Increasing yields and you know all the things that farmers seek to try to do with crops and animals
[00:00:38.720 --> 00:00:43.840]   But without using chemicals and without using, you know, techniques like gmo
[00:00:43.840 --> 00:00:47.680]   So it would be really was a really interesting little piece of research that I did
[00:00:47.680 --> 00:00:49.280]   I wanted to share it with you
[00:00:49.280 --> 00:00:55.920]   For those of you who are interested in how C60 can help your crops and this could apply to your plants your garden at home
[00:00:56.160 --> 00:00:59.280]   As well as animals and so and not just animals you eat
[00:00:59.280 --> 00:01:04.880]   But you know animals in general so I thought I'd just share it with you and you know, I found it interesting thought you would too
[00:01:04.880 --> 00:01:08.960]   So let's jump right in so the very first thing and this is just an overall summary
[00:01:08.960 --> 00:01:14.000]   With regards to C60 in use of crops in agriculture
[00:01:14.000 --> 00:01:21.680]   Carbon 60 fullerene is being explored as a potential nano material to enhance plant growth and yield by acting as an antioxidant
[00:01:21.920 --> 00:01:23.920]   Just like it does with humans, right?
[00:01:23.920 --> 00:01:31.920]   It does it does the same with plants now potentially improving the stress tolerance in plants by mitigating the effects of environmental stressors
[00:01:31.920 --> 00:01:41.520]   Like drought uv radiation and extreme temperatures while also increasing water retention capacity in the soil and potentially boosting nutrient uptake
[00:01:41.520 --> 00:01:44.800]   And this is what the overall summary of the other research is
[00:01:44.800 --> 00:01:48.160]   And I kind of cherry picked some studies to share with you to kind of
[00:01:48.400 --> 00:01:54.080]   Exampleify what the scientists have discovered in their studies and the key points though that I wanted to point out about crops
[00:01:54.080 --> 00:02:01.200]   And C60 is that it has the same antioxidant properties that it does with animals as it does with plants, right?
[00:02:01.200 --> 00:02:05.200]   And the key thing here is that it enhances water retention of the plants which is
[00:02:05.200 --> 00:02:07.600]   critical for drought resistance
[00:02:07.600 --> 00:02:14.240]   And also in the in the uptake of nutrients that the plants were demonstrating and and the ability for the plants to handle stress
[00:02:14.480 --> 00:02:18.240]   And that these are all huge pluses, right? If you're a farmer and so some of the research
[00:02:18.240 --> 00:02:20.960]   And I just cherry picked a few studies to show you
[00:02:20.960 --> 00:02:27.520]   Now number one is the study and it's called innovative approaches for improving the quality and resilience of spring barley seeds
[00:02:27.520 --> 00:02:34.160]   Seeds the role of nanotechnology and phytoplological analysis. Okay, there's a mouthful
[00:02:34.160 --> 00:02:40.000]   Now what they found out in this study was that they showed that fullerene C60 and carbon nanotubes
[00:02:40.320 --> 00:02:47.440]   Increase the water holding capacity biomass and yield of plant fruits by a hundred and eighteen percent
[00:02:47.440 --> 00:02:52.000]   You know, that's about that was the average of the group and that's a hundred and eighteen. That's double
[00:02:52.000 --> 00:02:56.000]   So, you know that can you imagine if you were a farmer and you could double your yield
[00:02:56.000 --> 00:03:00.800]   By using C60 in the soil, which is you know, and then at the end of the day, you know
[00:03:00.800 --> 00:03:05.440]   They concluded which was it was an outstanding achievement by nanotechnology in recent years
[00:03:05.440 --> 00:03:07.440]   And there's actually another study that kind of came with this
[00:03:07.440 --> 00:03:10.880]   But it was a little redundant, but the other study that I was reading showed
[00:03:10.880 --> 00:03:14.080]   They did it with tomatoes instead of you know, this was barley seeds
[00:03:14.080 --> 00:03:19.120]   And scientists had done a study on tomatoes and they had come up with an increased yield
[00:03:19.120 --> 00:03:24.240]   Of 200 percent. So it's three times the size, you know, let's can imagine a tomato
[00:03:24.240 --> 00:03:27.360]   That's three times bigger just by using carbon 16
[00:03:27.360 --> 00:03:32.000]   And so that was what the other studies finding so the bottom line though is the interesting thing
[00:03:32.880 --> 00:03:39.760]   With this study in this particular area of research was the increasing yields by simply using carbon 60
[00:03:39.760 --> 00:03:44.960]   And carbon 60 is not toxic. It is a natural forming carbon allotropin nature
[00:03:44.960 --> 00:03:48.720]   So we're trying to you know, here's an idea where you can use nature to improve
[00:03:48.720 --> 00:03:50.480]   nature
[00:03:50.480 --> 00:03:57.040]   In the simplest of forms and I thought this was just really interesting and how you can increase the size of the fruits
[00:03:57.040 --> 00:03:59.360]   That you're you're creating, you know, the size of your yields
[00:03:59.840 --> 00:04:03.600]   In whatever you're growing, you know, by two or three times as big
[00:04:03.600 --> 00:04:06.400]   And or more
[00:04:06.400 --> 00:04:13.760]   From every plant that you're, you know, putting in the ground another study that was called the effects of fullerene 60 on the uptake of nitrogen
[00:04:13.760 --> 00:04:21.440]   And mineral elements and crops using synchrotosis. This is the the technology they used in the study was they used the synchrotron radiation
[00:04:21.440 --> 00:04:26.240]   Micro x-ray fluorescence spectrometry and they use stable isotope labeling
[00:04:26.320 --> 00:04:31.600]   That's what they did to kind of analyze the the idea of nutrient or nitrogen and mineral uptake
[00:04:31.600 --> 00:04:39.920]   And what they discovered in this study was that c60 can improve the uptake of nitrogen and change mineral elements in crops
[00:04:39.920 --> 00:04:45.680]   Possibly avoiding damage to soils and the environment caused by the overuse of fertilizers
[00:04:45.680 --> 00:04:53.280]   And increasing the yield quantity and quality of crops and why that's so important if you understand modern day agriculture
[00:04:54.160 --> 00:04:56.960]   Fertilizers are derivatives of oil
[00:04:56.960 --> 00:05:00.960]   And natural gas primarily and these hydrocarbons go into the soil
[00:05:00.960 --> 00:05:05.760]   There's only three basic elements of fertilizers that are derived from hydrocarbons
[00:05:05.760 --> 00:05:10.400]   And as the plants are grown with these three basic, you know, fertilizers
[00:05:10.400 --> 00:05:14.240]   You know from hydrocarbons the plants suck it all up and after a while
[00:05:14.240 --> 00:05:18.560]   You know, the soil is without additional fertilizer the soil dies
[00:05:18.560 --> 00:05:21.760]   It just gets depleted because there's really nothing going on
[00:05:22.000 --> 00:05:25.680]   Except for the fertilizer and the plants take it all up now with carbon 60
[00:05:25.680 --> 00:05:31.680]   They're finding that it can actually prevent that and instead of using these hydrocarbon type of fertilizers
[00:05:31.680 --> 00:05:38.640]   You can use natural fertilizers plus c60 and you leave the soil healthy and that's a really important
[00:05:38.640 --> 00:05:43.200]   Finding is that c60 protects the soil now there is
[00:05:43.200 --> 00:05:48.960]   Another aspect of this and I kind of wanted to point out which was an other scientist said looked at
[00:05:49.680 --> 00:05:52.800]   You know, it looked at the idea of okay. Well, here's the concept right
[00:05:52.800 --> 00:05:59.680]   What can c60 do for plant yields plant growth plant stability, but also these scientists looked at and said well
[00:05:59.680 --> 00:06:02.880]   What happens when you know what does happen if you put c60 in your soil
[00:06:02.880 --> 00:06:08.640]   Does it end up in the plants and does it end up in what people eat and that was the important thing
[00:06:08.640 --> 00:06:14.240]   Was what happens after you eat these plants that have this, you know, c60 in the soil and so what this study
[00:06:14.240 --> 00:06:18.160]   Demonstrated was it's called c60 fullerene soil
[00:06:19.120 --> 00:06:22.960]   Sorption biodegradation and plant uptake now this study
[00:06:22.960 --> 00:06:28.080]   They looked at that they looked at specifically what you know, what is the plant doing like how much of it
[00:06:28.080 --> 00:06:31.200]   How much of the c60 does it pull up into its into its body?
[00:06:31.200 --> 00:06:32.480]   Let's say
[00:06:32.480 --> 00:06:37.760]   And so there was little co2 production in the slit slum or the sandy loam soil
[00:06:37.760 --> 00:06:46.160]   After 754 days and 328 days respectively suggesting high resistance to 660 to mineralization in soil meaning the plants
[00:06:46.800 --> 00:06:48.800]   used the c60
[00:06:48.800 --> 00:06:54.080]   But they didn't really uptake it and what they measured in the actual plant up taking c60 into its
[00:06:54.080 --> 00:06:56.960]   I guess they call it, you know your see the plant's body
[00:06:56.960 --> 00:07:00.080]   The plant uptake was generally low, you know
[00:07:00.080 --> 00:07:04.960]   With most of the uptake taken carbon accumulating in the roots
[00:07:04.960 --> 00:07:10.240]   So what they found was that a lot of the carbon the c60 was accumulating up to 40 to 47
[00:07:10.240 --> 00:07:13.840]   Of the carbon in the plant was in the roots, right?
[00:07:13.840 --> 00:07:18.240]   So that's good if you you know, if you don't want people eating the the c60 that means
[00:07:18.240 --> 00:07:23.200]   You know, it's gonna stay in the ground like, you know, like all the different kinds of crops that you don't eat the roots
[00:07:23.200 --> 00:07:27.680]   You eat the you know, they're yield and then the smaller amounts were accumulated in the tubers
[00:07:27.680 --> 00:07:31.360]   22 to 23 percent the stems held 12
[00:07:31.360 --> 00:07:34.880]   They found c60 in the stems 12 to 60 percent and they found
[00:07:34.880 --> 00:07:38.720]   In the leaves the carbon 60 was 18 to 22 percent in the leaves
[00:07:38.720 --> 00:07:43.680]   So what that kind of demonstrated was that the majority of the c60 that the plants are using
[00:07:43.920 --> 00:07:47.120]   Are not going to be in the fruits or vegetables that you'll end up eating
[00:07:47.120 --> 00:07:48.720]   Right, that's kind of what they found
[00:07:48.720 --> 00:07:56.160]   And then they they went on to say our results indicate that c60 released to the environment will not be highly bioavailable
[00:07:56.160 --> 00:08:00.560]   Right because it's gonna pretty much stay with the parts of the plants that people are not eating
[00:08:00.560 --> 00:08:04.400]   But will likely persist in soil for extended periods
[00:08:04.400 --> 00:08:10.720]   Which was what you know, the ultimate game is you want the c60 to stay in the soil unlike hydrocarbon fertilizers
[00:08:11.120 --> 00:08:15.440]   You want the c60 to always be in there working for the next, you know crop that you plant
[00:08:15.440 --> 00:08:20.800]   So that was a really interesting, you know aspect of c60s used in agriculture
[00:08:20.800 --> 00:08:24.240]   Was this idea of okay, you know, what is it?
[00:08:24.240 --> 00:08:26.880]   You know, what is the plant uptake and what does it do to the soil?
[00:08:26.880 --> 00:08:29.360]   And so I thought that was real interesting and I wanted to share that with you
[00:08:29.360 --> 00:08:33.440]   So then when we look at animals and we look at c60s use with animals
[00:08:33.440 --> 00:08:39.680]   In farming animal husbandry the in the animal husbandry industry carbon 60
[00:08:40.080 --> 00:08:43.040]   Full array in c60 is being researched as a potential
[00:08:43.040 --> 00:08:50.320]   Dietary supplement due to its potential antioxidant properties with studies showing it may improve meat quality
[00:08:50.320 --> 00:08:57.440]   Enhanced animal health by mitigating oxidative stress and potentially even extend lifespan in some animal models
[00:08:57.440 --> 00:09:02.320]   By protecting against cellular damage caused by free radicals. So this is all the stuff you hear
[00:09:02.320 --> 00:09:08.960]   Uh, you know when people are trying to sell you c60 oil for your own health that actually applies to the animals as well
[00:09:09.360 --> 00:09:14.560]   Uh, and and in a whole different aspect because you know, we eat those animals as opposed to you know, humans
[00:09:14.560 --> 00:09:20.880]   So the key points with c60s use with animals is that it does have the same antioxidant effects
[00:09:20.880 --> 00:09:24.720]   Scientists have found that okay works the same in animals as it does humans
[00:09:24.720 --> 00:09:29.920]   But the interesting thing was that the meat quality improved the potential lifespan
[00:09:29.920 --> 00:09:34.080]   Extension is there which is really critical for like, you know, if you think about
[00:09:34.080 --> 00:09:37.520]   You have animals that produce but if you can get your animals to live longer
[00:09:37.600 --> 00:09:40.800]   They can produce more right whether it's milk or eggs or whatever
[00:09:40.800 --> 00:09:43.360]   And then the other thing too was the delivery method, right?
[00:09:43.360 --> 00:09:46.000]   So how you know how they kind of expand, you know experimented with
[00:09:46.000 --> 00:09:52.960]   Uh, the different delivery methods of how to how to supplement animals with c60 and then the important considerations that the scientists overall
[00:09:52.960 --> 00:09:57.040]   Uh discovered was that doses in toxicity was an issue now toxicity
