
[00:00:00.000 --> 00:00:06.920]   Aloha everyone and welcome to another video by me camera and in this video a carbon 60 video. Yes
[00:00:06.920 --> 00:00:08.920]   I know I haven't done one of these for a while
[00:00:08.920 --> 00:00:11.200]   I'd like to talk to you about
[00:00:11.200 --> 00:00:14.000]   alternative C 60
[00:00:14.000 --> 00:00:21.800]   Inhalation and yes, I mean actually breathing in C 60 as an alternative way of taking C 60
[00:00:21.800 --> 00:00:27.520]   However, before I jump into that, let me just go over some disclosures, you know the disclaimers
[00:00:27.840 --> 00:00:33.960]   Same thing. This material is for research purposes only C 60 oil is not approved for consumption by the FDA
[00:00:33.960 --> 00:00:39.360]   You understand that making and consuming C 60 oil is experimental and you do so at your own risk
[00:00:39.360 --> 00:00:42.520]   And I just want to let everybody know like I always do that
[00:00:42.520 --> 00:00:49.200]   I do not have a stake in a C 60 company or product and nor do I get paid in any way for making videos
[00:00:49.200 --> 00:00:54.440]   But I will be talking about a product today and I and I wanted you to to get a take a look at it now
[00:00:55.600 --> 00:00:59.400]   Alternative alt C 60. What do I mean by that? Well, it's just simply alternative
[00:00:59.400 --> 00:01:06.080]   You know right now the mainstay that everyone has been following since the rat study in 2012 was you know
[00:01:06.080 --> 00:01:10.520]   Let's mix C 60 with olive oil and make it bio available and it's called lipo
[00:01:10.520 --> 00:01:12.960]   Fullerine because you create liposomes
[00:01:12.960 --> 00:01:16.440]   And that's how you people have been taking C 60 since
[00:01:16.440 --> 00:01:23.000]   2012 literally the first commercial product for C 60 oil was released three months after that report came out
[00:01:23.120 --> 00:01:30.120]   so for the last I don't know it's 2020 now seven years eight years now people have been taking C 60 oil and
[00:01:30.120 --> 00:01:33.200]   That is the main way people take it
[00:01:33.200 --> 00:01:39.000]   It's the main way that it's sold if you actually now at this stage in the game if you were to type in C 60
[00:01:39.000 --> 00:01:43.120]   Into any search engine and you hit you know search you're gonna get
[00:01:43.120 --> 00:01:50.080]   Just tons and tons and tons of links to different C 60 oil products same thing on Amazon so forth
[00:01:50.160 --> 00:01:56.600]   So the mainstay for for taking C 60 as a supplement has always been as a lipo full ring
[00:01:56.600 --> 00:02:04.080]   And when I say always I'm talking about the universe of time in which it's been a supplement for people to take and you know
[00:02:04.080 --> 00:02:07.880]   But again, it's not FDA approved and you know it's still experimental all right
[00:02:07.880 --> 00:02:12.320]   But you know there are alternatives and since 2012 till now
[00:02:12.320 --> 00:02:19.200]   There have been alternative ways to actually take C 60 because of its many different benefits
[00:02:19.600 --> 00:02:23.960]   to our bodies and and and some of these innovative people have discovered and
[00:02:23.960 --> 00:02:31.520]   Developed ways in which we can also take C 60 in different ways instead of just taking it in oil
[00:02:31.520 --> 00:02:38.520]   And so the very first one that I will kind of worked on and I've actually made three videos about this and I will link to the most recent one
[00:02:38.520 --> 00:02:45.360]   in the description below is the topical application of C 60 putting C 60 oil in a
[00:02:46.000 --> 00:02:49.440]   Collotion or a cream and then putting that on your skin
[00:02:49.440 --> 00:02:57.920]   Will then deliver C 60 direct directly into your skin into the dermal layer of your body. It helps reduce radical oxygen
[00:02:57.920 --> 00:03:01.140]   Damage to your skin. It's it's quite protective from a
[00:03:01.140 --> 00:03:07.120]   Radiation standpoint as well, you know from UV type of radiation so take it taking
[00:03:07.120 --> 00:03:15.760]   C 60 topically in creams and lotions in even and you know and actually even taking C 60 oil itself that you would normally
[00:03:16.000 --> 00:03:20.120]   You know drink and putting that on your skin is actually really good for your skin
[00:03:20.120 --> 00:03:26.640]   So now that was one of the first things that was developed alongside of C 60 oil actually taking it in
[00:03:26.640 --> 00:03:31.440]   In fact, if you look at the history of topical applications that actually precedes
[00:03:31.440 --> 00:03:39.760]   the period of time where people were mixing it with olive oil and drinking it the topical application of C 60 actually started
[00:03:39.920 --> 00:03:47.280]   With a Japanese company and they started I think about five or six years before that 2012 study was released in the study
[00:03:47.280 --> 00:03:49.280]   I refer to as the famous body rat study
[00:03:49.280 --> 00:03:57.640]   So topical C 60s been on the commercial market for much longer than actually oil drinking oil and it's actually quite effective
[00:03:57.640 --> 00:04:03.680]   Now my last video was a product review where I took several different products and reviewed those
[00:04:04.080 --> 00:04:11.080]   Topical products that had C 60 in them all of them were great that the ones that I tried and sampled and you know
[00:04:11.080 --> 00:04:14.360]   So if you want to learn more about that, you know, feel free to take a look at that video
[00:04:14.360 --> 00:04:20.860]   Again in the link description below, but this video what I wanted to do is talk about inhalation now
[00:04:20.860 --> 00:04:23.920]   I had to take kind of this weird break
[00:04:23.920 --> 00:04:28.080]   But lat but you know what happened this spring, you know happened to all of us
[00:04:28.080 --> 00:04:35.160]   So I kind of got sidetracked making different videos about other things right specifically related to the situation at hand
[00:04:35.160 --> 00:04:38.380]   And trying to help people and and one of those videos that I made
[00:04:38.380 --> 00:04:41.380]   I slapped it together overnight
[00:04:41.380 --> 00:04:49.520]   And and really what it was was I was working on this alt C 60 inhalation video and this other idea occurred to me that it would be applicable
[00:04:49.520 --> 00:04:55.440]   As a what I call the pandemic tink so now this video is and I you know
[00:04:55.440 --> 00:05:00.240]   I'm sorry if you've seen it before but I'm republishing this video because I wanted
[00:05:00.240 --> 00:05:06.440]   This is what my original intention was was to create a three part series on alternative C 60
[00:05:06.440 --> 00:05:14.560]   One topical to inhalation and how do you expose yourself to C 60 as a frequency and there are commercial products for that
[00:05:14.560 --> 00:05:18.500]   For all you know for all of these three things there are commercial products for that
[00:05:18.500 --> 00:05:24.020]   So it's an actual product and people are selling it and people are using it and doing it and so forth
[00:05:24.020 --> 00:05:26.300]   So I was working on the inhalation one
[00:05:26.300 --> 00:05:30.500]   And I actually because I was working on this whole pandemic thing in the spring
[00:05:30.500 --> 00:05:37.740]   I shoved it into that video and it's entitled pandemic tinks now for people who are just purely interested in C 60
[00:05:37.740 --> 00:05:41.840]   Why I'm put publishing it now. I'm just republishing that video of
