
[00:00:00.000 --> 00:00:06.560]   Aloha and welcome back to my three-part series on carbon 60. This is part two understanding dosages
[00:00:06.560 --> 00:00:09.080]   My name is calmer and thanks for stopping by
[00:00:09.080 --> 00:00:13.760]   Before I get into this I do want to do a little disclaimer because we're now talking about dosages
[00:00:13.760 --> 00:00:19.440]   And I just want to make it very very clear that this information is for research purposes only
[00:00:19.440 --> 00:00:27.720]   this is absolutely not medical advice and I also don't sell this stuff don't make this stuff don't know anybody who does make this stuff other
[00:00:27.720 --> 00:00:33.640]   Than individuals and I take no compensation in any form for doing these videos and lastly
[00:00:33.640 --> 00:00:39.360]   I really think it's important to state that no one should really ingest anything into your body based on a YouTube video
[00:00:39.360 --> 00:00:45.880]   I encourage everyone to do research before you do anything to yourself and to your critters
[00:00:45.880 --> 00:00:51.040]   So one other tiny thing is in part one when I was talking about the rat study
[00:00:51.040 --> 00:00:57.040]   I made a mention of how the C-60 was the C-60 oil was administered to the rats
[00:00:57.040 --> 00:01:03.680]   And I just want to clarify that it wasn't in the bloodstream and orally it was all done through their digestive system
[00:01:03.680 --> 00:01:10.000]   And what they were doing in the rat study was they were using gavages, which is like a feeding tube and they were also giving it
[00:01:10.000 --> 00:01:12.160]   orally through a syringe and
[00:01:12.160 --> 00:01:17.000]   At the end of the at the end of the day what they were worried that the feeding tube was gonna harm the rats
[00:01:17.000 --> 00:01:21.200]   So they stopped doing it with feeding tubes, and they just went it with syringes
[00:01:21.200 --> 00:01:24.880]   You know squirting it in their mouth, so it did not go into the bloodstream
[00:01:24.880 --> 00:01:29.920]   So every the way that the study was done was through the digestive system
[00:01:29.920 --> 00:01:35.360]   Okay, jump in the rat study now if you remember from part one the rat study dosage was
[00:01:35.360 --> 00:01:38.320]   1.7 milligrams of fullerenes
[00:01:38.320 --> 00:01:46.960]   per kilogram of body weight and that the saturation level of the C-60 fullerenes the powder in the oil was
[00:01:47.280 --> 00:01:49.000]   0.8 milligrams
[00:01:49.000 --> 00:01:53.800]   Or a per milliliter of the oil, and if you did quick math
[00:01:53.800 --> 00:01:59.400]   It's comes out to 2.125 milligram or milliliter sorry per kilogram of body weight
[00:01:59.400 --> 00:02:05.000]   So that's exactly like in liquid form. That's how much you need to take per kilogram of what you weigh
[00:02:05.000 --> 00:02:09.000]   Or what your big rat weighs or your horse weighs etc
[00:02:09.000 --> 00:02:15.040]   And so I did this little table just to do the simple math so it's easy to see so you can pause this thing take a peek at it
[00:02:15.040 --> 00:02:17.440]   But basically I broke out, you know five different
[00:02:17.440 --> 00:02:19.080]   weights
[00:02:19.080 --> 00:02:25.400]   And this is what the kilogram equivalent and then this would be the dose based on that 2.125 milliliters per kilogram
[00:02:25.400 --> 00:02:29.040]   And then I broke that out into ounces and again in tablespoons
[00:02:29.040 --> 00:02:34.760]   So you can kind of see what the rats were taking is if they if they were like large big rats
[00:02:34.760 --> 00:02:36.920]   So let's just take 200 pound rat
[00:02:36.920 --> 00:02:43.080]   You know take a look at that at six and a half ounces a day and that against this you know regiment
[00:02:43.080 --> 00:02:45.400]   Which is one per day for seven days and etc
[00:02:45.400 --> 00:02:52.760]   So that's a half a can of soda of oil that they were squishing down these little rats for the first week
[00:02:52.760 --> 00:02:59.440]   And then so forth so you can just imagine and this confirms that the entire study was based on
[00:02:59.440 --> 00:03:04.520]   toxicity they wanted to see how much these guys could take and they thought maybe they would die you know but
[00:03:04.520 --> 00:03:07.640]   Obviously the results were different. So that's quite a bit of oil
[00:03:07.640 --> 00:03:11.120]   Depending on what you weigh as a big rat
