
[00:00:00.000 --> 00:00:05.640]   Hello everybody, this is Kay Elmer and this is another carbon 60 video and in this video
[00:00:05.640 --> 00:00:11.120]   I'd like to answer some questions that I've been receiving go over some viewer comments and share with you some really interesting
[00:00:11.120 --> 00:00:18.360]   Information that I got in talking with Martin from Red Lion C 60. So here we go. Let's jump right in
[00:00:18.360 --> 00:00:22.980]   First thing disclaimers. I just want to make sure everyone's real clear. This is not medical advice
[00:00:22.980 --> 00:00:28.600]   This is not a product endorsement. I do mention products, but it does not mean I'm endorsing them
[00:00:28.600 --> 00:00:34.320]   I also don't sell any products myself and I don't get paid to mention products or get paid to do videos
[00:00:34.320 --> 00:00:37.260]   And I just really want to make that really clear to everybody
[00:00:37.260 --> 00:00:42.760]   Also, too, there's links to pretty much everything. I'm gonna bring up in the video description below
[00:00:42.760 --> 00:00:47.820]   So if you want to have you want to look up anything just go down there and click that link and there you go
[00:00:47.820 --> 00:00:52.600]   So first question that I've been getting a lot of which really really is right here
[00:00:52.600 --> 00:00:55.480]   Is this should I load and maintain or should I just start taking it?
[00:00:55.840 --> 00:01:01.200]   That's a really good question, you know, I covered dosing in part two of that three-part video series
[00:01:01.200 --> 00:01:06.960]   But really what's kind of coming from all of the research that I might have doing is
[00:01:06.960 --> 00:01:13.000]   It really makes a difference on whether or not you have detoxed before you start taking C 60
[00:01:13.000 --> 00:01:16.240]   And what I mean by that is C 60 is a super antioxidant, right?
[00:01:16.240 --> 00:01:19.880]   It's a hundred and seventy two times more powerful than vitamin C
[00:01:19.880 --> 00:01:25.920]   So if you take C 60 and you have never detox once in your 50 years or whatever a living
[00:01:25.920 --> 00:01:29.040]   Then it might not be a good experience for you
[00:01:29.040 --> 00:01:35.080]   And what I mean by that is if you detox too fast your body won't know what to do with all the quad it's releasing into your bloodstream
[00:01:35.080 --> 00:01:38.080]   So you might want to take it slow if you've never done anything
[00:01:38.080 --> 00:01:41.680]   However, if you're someone like myself for over 10 years 20 years
[00:01:41.680 --> 00:01:49.180]   I detox constantly by taking a massive amounts of antioxidants and and doing detox types of things like clay
[00:01:49.720 --> 00:01:52.980]   And so forth. So if you've been detoxing and you're pretty good
[00:01:52.980 --> 00:01:59.240]   Then yeah, then you know and then you buy all means then I would say kind of duplicate the rat study do a load up and maintain
[00:01:59.240 --> 00:02:06.920]   dosage there after or if you just want to be careful and I recommend everyone take the conservative approach at first just to
[00:02:06.920 --> 00:02:09.560]   See how your body reacts to it. It's just start taking it
[00:02:09.560 --> 00:02:14.880]   Slowly and then see how it goes and then if you want to load and maintain later, that's that's you know, I'm totally up to you
[00:02:14.880 --> 00:02:16.880]   So along those lines
[00:02:16.880 --> 00:02:20.440]   I did want to point out that there's a couple of helpful
[00:02:20.440 --> 00:02:26.520]   Instructions out there on the internet that I ran across and one of them is for the load and maintain
[00:02:26.520 --> 00:02:32.960]   What the folks here at live pet have done and they're the makers of the champion 60 brand is on their label
[00:02:32.960 --> 00:02:36.640]   And in fact, they're the only ones that actually have any instructions on on their labels
[00:02:36.640 --> 00:02:42.240]   Which is really nice and they actually have the ingredients list to just like an actual regular product you'd get at the store
[00:02:42.560 --> 00:02:46.200]   Is they have this little section right here on on recommendations now?
[00:02:46.200 --> 00:02:50.800]   I do want to point out it's recommended dosing for dogs if you've seen the live pet guys
[00:02:50.800 --> 00:02:55.720]   They've been on Sarah Westall's YouTube channel, and they've been interviewed
[00:02:55.720 --> 00:03:01.040]   You know pretty much the product for the animals dogs and horses is
[00:03:01.040 --> 00:03:04.440]   Just as much you could take it as a human
[00:03:04.440 --> 00:03:09.760]   Clearly because we're all mammals, right? So but this is their quote product for dogs
[00:03:09.760 --> 00:03:13.920]   But it's the same if you were to be human and what they've got is their load
[00:03:13.920 --> 00:03:17.000]   Starting dose which is a load up and you can see here
[00:03:17.000 --> 00:03:23.240]   I just an example to eighty a hundred pounds be three teaspoons a day as opposed to maintenance dose
[00:03:23.240 --> 00:03:26.960]   Which is half of that so what they do is that you load up you take a bunch at first
[00:03:26.960 --> 00:03:29.720]   You do that for the first week and then you reduce it to half
[00:03:29.720 --> 00:03:33.680]   Which is sort of like how they did it in the rat study and so this is really helpful
[00:03:33.680 --> 00:03:37.400]   You can go to their website click on products and it's gonna be right there on that page
[00:03:37.400 --> 00:03:40.000]   You can pop it up and take a peek at it and there you go
[00:03:40.000 --> 00:03:42.640]   So this is kind of some advice and and again, too
[00:03:42.640 --> 00:03:46.040]   I want to mention just like on this one here is that
[00:03:46.040 --> 00:03:53.120]   Just always recall that the rat study was a study to see how much C60 they could give a rat before it died
[00:03:53.120 --> 00:03:54.920]   I mean it was a toxicity study
[00:03:54.920 --> 00:03:56.920]   And so what all of these
[00:03:56.920 --> 00:04:03.680]   Manufacturers have done is they've tailored it back because clearly you are not going to try to figure out how much C60 it takes to kill
[00:04:03.680 --> 00:04:10.040]   You and so they've actually scaled it back. I'm not sure what the scaling back of this particular amount is
[00:04:10.040 --> 00:04:14.280]   But right here on if you just wanted to start taking it the other resource
[00:04:14.280 --> 00:04:16.280]   I want to point out to you is right here
[00:04:16.280 --> 00:04:21.520]   And then what this is what what all the vendors have done is they've done a thing called allometric scaling
[00:04:21.520 --> 00:04:23.080]   They've just basically said all right
[00:04:23.080 --> 00:04:28.480]   Well, you know if this is if they gave a hundred percent whatever that amount was it equals a hundred percent to the rats
[00:04:28.880 --> 00:04:31.840]   And that rat study then we'll just scale it back to 30 percent
[00:04:31.840 --> 00:04:36.800]   So it's one third of the dose that was given to the rats and they call that allometric scaling
[00:04:36.800 --> 00:04:40.640]   I believe obviously this is allometric scaling, but I don't know what to what percent it is
[00:04:40.640 --> 00:04:42.840]   I haven't done the math on that but right here
[00:04:42.840 --> 00:04:49.120]   For this other helpful little thing that you might all really like which I thought was cool hard to find though on their website
[00:04:49.120 --> 00:04:53.800]   But if you go to Bucky Labs website, and you go all the way to the bottom of the page
[00:04:53.800 --> 00:04:56.360]   There's this little link right here
[00:04:56.960 --> 00:05:01.080]   That says dosage calculator, you know, you'd think it'd be like up here, you know
[00:05:01.080 --> 00:05:03.080]   But anyway, so you have to you have to kind of find it
[00:05:03.080 --> 00:05:08.000]   I found it by accident and and so basically they have a dosage calculator and if you read all the stuff
[00:05:08.000 --> 00:05:10.200]   They do here right here see factor of 30 percent
[00:05:10.200 --> 00:05:12.640]   Alometric scaling there you go
[00:05:12.640 --> 00:05:17.520]   They did some math but they built you a calculator really simple because not everybody's in exactly the same weight
[00:05:17.520 --> 00:05:19.240]   You know and so just for an example
[00:05:19.240 --> 00:05:22.560]   Let's say if you're a 200 pound human being or dog or horse
[00:05:22.920 --> 00:05:27.480]   It'd be a really small horse by the way, and you're going to take it seven times in a week
[00:05:27.480 --> 00:05:30.040]   You're gonna take it every or let's say we want to take it twice it
[00:05:30.040 --> 00:05:31.840]   You know you want to take morning and night, but anyway
[00:05:31.840 --> 00:05:39.120]   So seven times a week right and you've got this little the 30 milliliter bottle or the 60 milliliter bottle because they're giving dosage
[00:05:39.120 --> 00:05:41.320]   recommendations by dropper
[00:05:41.320 --> 00:05:43.640]   Then you go ahead and click this button in right here. There you go
[00:05:43.640 --> 00:05:47.920]   So if you're gonna take a dose you weigh 200 pounds you're gonna take it once a day
[00:05:48.200 --> 00:05:55.200]   Then they're recommending, but you know this is their calculation is you would probably take 3.3 dropper squeezes per dose
[00:05:55.200 --> 00:05:59.080]   Right really helpful, and you can change this all up if you want you can go
[00:05:59.080 --> 00:06:00.920]   Oh, you know you can basically go
[00:06:00.920 --> 00:06:03.760]   You know if you're gonna take it twice a day or once a week
[00:06:03.760 --> 00:06:09.440]   There's actually a point this out later in the video, but a lady that was actually taking a whole bottle every Sunday
[00:06:09.440 --> 00:06:10.520]   You know that's how she did it
[00:06:10.520 --> 00:06:15.760]   So everybody does it differently don't feel bad whatever, but this little puppy right here is very helpful
[00:06:15.760 --> 00:06:20.760]   If you just want to calculate the dose based on alimentary scaling as opposed to trying to use it
[00:06:20.760 --> 00:06:22.760]   You know like some kind of a chart and do the math yourself
[00:06:22.760 --> 00:06:27.600]   So it really helpful of course the only thing that's kind of limiting is right here is the dropper
[00:06:27.600 --> 00:06:32.820]   It only measures off on two different bottle sizes based on the size of the dropper in the bottle, right?
[00:06:32.820 --> 00:06:38.460]   And so it's not really like saying hey, you know how much should you take but but if you did pay attention to this little section right there
[00:06:38.460 --> 00:06:40.280]   Okay, they're just saying hey
[00:06:40.280 --> 00:06:45.040]   That's how many milliliters of the solution or the oil to take so if you just figure this out
[00:06:45.040 --> 00:06:49.240]   If you do some math, it's like five. I think it's around five milliliters per teaspoon
[00:06:49.240 --> 00:06:53.360]   Is if you're just going to use a teaspoon kind of a thing for me
[00:06:53.360 --> 00:06:56.000]   I've been doing this like six months now. I just squished
[00:06:56.000 --> 00:06:58.440]   I just you know squished it into the in it
[00:06:58.440 --> 00:06:59.920]   I just pour it onto the dog food
[00:06:59.920 --> 00:07:04.920]   I just squeeze the bottle and I just pour it on the dog food or I just pour it right into my my protein shake
[00:07:04.920 --> 00:07:07.560]   So I don't really I don't really measure anymore
[00:07:07.560 --> 00:07:11.680]   But you know but if you are then this is kind of be helpful for you. Okay, so that might help
[00:07:12.320 --> 00:07:17.300]   Next thing is how to take it now. This was a really interesting viewer comment
[00:07:17.300 --> 00:07:21.680]   I really really wanted to share with everybody and I'm so sorry for the individual who shared this with me
[00:07:21.680 --> 00:07:26.160]   I'm so sorry. I didn't mention your name. I couldn't find it was just I couldn't find it
[00:07:26.160 --> 00:07:29.320]   I took notes, but I forgot to write down who gave me these comments
[00:07:29.320 --> 00:07:32.320]   So if you if these are your comments, thank you very much
[00:07:32.320 --> 00:07:36.320]   Thank you because you know what this is all about right is sharing how things are going
[00:07:36.320 --> 00:07:41.320]   So we're you know, this is a body of work that we're creating and everybody's experiences are really helpful for everybody else
[00:07:41.480 --> 00:07:46.920]   No, so what this individual basically shared in the comment sections of one of my videos was that
[00:07:46.920 --> 00:07:52.640]   When we research liposomal products, we find they must be taken on an empty stomach if our stomach isn't empty
[00:07:52.640 --> 00:07:55.760]   The liposome combines with other food and goes through the digestive process
[00:07:55.760 --> 00:07:59.800]   It's still good for us, but we will not get the benefit of the liposomal delivery
[00:07:59.800 --> 00:08:00.880]   So that's really interesting
[00:08:00.880 --> 00:08:06.400]   But this is what's better is the part where he says a light war he or she sorry a liposome will pass through it empty
[00:08:06.400 --> 00:08:12.520]   Stomach into the little small intestine then through the wall directly into the lymphatic system into the liver than out to the body in the blood stream
[00:08:12.520 --> 00:08:14.400]   It's quick, and this is what counts
