
[00:00:00.000 --> 00:00:05.280]   Hello everyone, and welcome to another Carbon 60 video by me, Kay Almer, and this is a short one
[00:00:05.280 --> 00:00:11.880]   I just wanted to share with you the updated pricing guide for C60 products as of October 2018
[00:00:11.880 --> 00:00:13.960]   It's been three months since I did one
[00:00:13.960 --> 00:00:17.400]   I thought it'd be a really good idea to do it and so let's just jump right in
[00:00:17.400 --> 00:00:21.600]   I just wanted to just run it by you and it's available as a PDF in the link below
[00:00:21.600 --> 00:00:27.600]   So what we've got now is we've got a lot more sellers if you've tuned in to the last
[00:00:28.300 --> 00:00:32.020]   Pricing update there's been a quite a number of new sellers
[00:00:32.020 --> 00:00:41.040]   So since then and one difference about this pricing guide is that I put all the prices that are increasing in red and any
[00:00:41.040 --> 00:00:44.360]   Prices that have decreased are in green. So
[00:00:44.360 --> 00:00:46.280]   again, I
[00:00:46.280 --> 00:00:53.640]   Break it out by different types of oil. So the pricing guide for C60 olive oil is this sheet right here
[00:00:53.640 --> 00:00:55.640]   Which is C60 in olive oil
[00:00:55.640 --> 00:01:01.300]   Duh, and so and I've got them listed by the best deal per ounce
[00:01:01.300 --> 00:01:03.300]   So what I do is they all come in different
[00:01:03.300 --> 00:01:11.480]   Size bottles, and so what I try to do is just break it down to an apples to apples comparison and list it by
[00:01:11.480 --> 00:01:15.780]   The price per ounce, which is whatever the best deal is so if you got to buy
[00:01:15.780 --> 00:01:20.620]   10 to get that price that's the quote the best deal and then of course over here there
[00:01:20.620 --> 00:01:22.060]   It does not include shipping
[00:01:22.060 --> 00:01:25.800]   So, you know, it's it's the only way to kind of do this in apples and apples
[00:01:25.800 --> 00:01:30.840]   So, you know for you guys that are shopping for something to try if you've never bought it before
[00:01:30.840 --> 00:01:31.760]   You know
[00:01:31.760 --> 00:01:37.560]   Here's a good way to looking at it in terms of being able to compare the prices as well as the different bottle sizes
[00:01:37.560 --> 00:01:42.280]   So yeah, and as you can see one of the things I want to just point out real quick is that you know
[00:01:42.280 --> 00:01:46.520]   There have been like I always take a look at the average of the top 10 from a pricing standpoint
[00:01:46.520 --> 00:01:49.440]   And there has been a definite increase in price
[00:01:50.080 --> 00:01:51.700]   since July
[00:01:51.700 --> 00:01:55.560]   Because four of the top 10 or the lowest 10 I should say
