
[00:00:00.000 --> 00:00:06.000]   >> Hello, everyone, and welcome to another Carbon 60 video by me, Kay Elmer.
[00:00:06.000 --> 00:00:12.000]   I wanted to bring you an update as of April 21, 2018 and keep you in the loop as to the research I'm doing
[00:00:12.000 --> 00:00:14.000]   and, of course, share it with you.
[00:00:14.000 --> 00:00:17.000]   I want to jump right into the disclaimers here.
[00:00:17.000 --> 00:00:20.000]   You know, this material is for research purposes only.
[00:00:20.000 --> 00:00:23.000]   This is not any medical or health advice.
[00:00:23.000 --> 00:00:28.000]   I wanted to remind everybody that C60 oil is not approved for consumption by the FDA.
[00:00:28.000 --> 00:00:32.000]   Everything that we are doing with C60 products today is experimental.
[00:00:32.000 --> 00:00:38.000]   It's for research, and if you're a human taking it or a large rat, this is the human trial.
[00:00:38.000 --> 00:00:40.000]   We are actually living it.
[00:00:40.000 --> 00:00:42.000]   This is not a product endorsement of any kind.
[00:00:42.000 --> 00:00:48.000]   I do not sell C60 products, and I don't get paid and get money or anything to do my videos.
[00:00:48.000 --> 00:00:53.000]   So, with that said, the topics for this update is I wanted to give everybody a sneak peek
[00:00:53.000 --> 00:00:59.000]   in using the Pulver I C60, a very unique component.
[00:00:59.000 --> 00:01:01.000]   It's very different than the powder.
[00:01:01.000 --> 00:01:05.000]   And then I also want to share just what I'm working on ongoing research
[00:01:05.000 --> 00:01:07.000]   and just throw out my notes for you guys.
[00:01:07.000 --> 00:01:11.000]   If you're interested in doing your own research as well, I just want to just keep sharing whatever I got.
[00:01:11.000 --> 00:01:16.000]   And then, of course, I want to talk about buyer education because I'm seeing some really weird things out in the market.
[00:01:16.000 --> 00:01:20.000]   So, first things first, the product overview of the red line, Pulver I C60.
[00:01:20.000 --> 00:01:26.000]   Now, I'm going to actually do a full-on tutorial as I get to the end of the process here.
[00:01:26.000 --> 00:01:30.000]   But I wanted to share with you just a little bit about what is this stuff and what it is.
[00:01:30.000 --> 00:01:34.000]   And this is right off of his website, link below in the video description,
[00:01:34.000 --> 00:01:47.000]   where what he's done, he's actually taking C60 powder and then pulverized it and grinded it down to its smallest size,
[00:01:47.000 --> 00:01:54.000]   which is literally one molecule at a time, as opposed to clusters of molecules.
[00:01:54.000 --> 00:01:58.000]   And so, there's a little note in there that a C60 molecule is one nanometer in size.
[00:01:58.000 --> 00:02:05.000]   And mostly when you get those powders from all over, you're going to get clusters as big as 300 times that.
[00:02:05.000 --> 00:02:09.000]   And so, what they've done is they've created this pulverized version.
[00:02:09.000 --> 00:02:16.000]   It comes to you suspended in pure alcohol that is made that way so that it evaporates off easily.
[00:02:16.000 --> 00:02:24.000]   But the thing about it, as he states here, is that it's going to block the filters because it pulls a sludge and the impurities out of the oil.
[00:02:24.000 --> 00:02:26.000]   So, double filtering is really important.
[00:02:26.000 --> 00:02:32.000]   So, it's really a unique product because it's not like anything else that anybody is selling right now.
[00:02:32.000 --> 00:02:39.000]   There's one comparable product, but they don't sell the actual raw C60.
[00:02:39.000 --> 00:02:45.000]   If you want to buy C60 in a monomolecular form, then you'd have to buy the product itself.
[00:02:45.000 --> 00:02:48.000]   But other than that, there's only two folks doing this right now in the world.
[00:02:48.000 --> 00:02:51.000]   So, right now, I just want to give you a sneak peek.
[00:02:51.000 --> 00:02:53.000]   I've had to adapt the process.
[00:02:53.000 --> 00:02:57.000]   He gave me instructions via email and it was courteous enough to put it up on the website for everybody else.
[00:02:57.000 --> 00:03:06.000]   And so, you can go to the link below and you can kind of read through the process on how he's suggesting to use the product to make your own C60 oil.
[00:03:06.000 --> 00:03:08.000]   This is just pure C60.
