
[00:00:00.000 --> 00:00:04.720]   Aloha everyone and welcome to another Tinkers Academy video. I'm your host Kay Elmer and today
[00:00:04.720 --> 00:00:10.600]   I've got the pleasure of having a chat with Bob Greska of Greska's Carbon 6 C60
[00:00:10.600 --> 00:00:15.640]   And it is such a pleasure to have one of the most I just want one of the most experienced
[00:00:15.640 --> 00:00:22.800]   scientists in the C60 space and and Bob. Thank you so much for giving me some time today and welcome
[00:00:22.800 --> 00:00:26.640]   Yeah, great. Hey, it's it's always good to be here and I
[00:00:27.400 --> 00:00:31.600]   Love this carbon-60 product and everything that it does for people
[00:00:31.600 --> 00:00:36.760]   So I'm I'm glad to share my experiences and knowledge about what it is and how it works
[00:00:36.760 --> 00:00:39.080]   awesome, so for those of you who
[00:00:39.080 --> 00:00:44.600]   Don't know or haven't heard of who Bob Greska is. Let me just give you a be a brief background
[00:00:44.600 --> 00:00:50.440]   Bob basically is a mechanical engineer graduated from South Eastern Massachusetts University
[00:00:51.320 --> 00:00:59.900]   And you're a material scientist. I guess you know, there's lots of people with degrees, but you focused in on carbon as a material
[00:00:59.900 --> 00:01:08.520]   Scientist, so you're literally a carbon scientist. That's your your career. Yeah. Yeah. Well, I studied non-metals and college as a mechanical engineer and material science
[00:01:08.520 --> 00:01:11.120]   Yeah, and I focus in I focus in on carbon
[00:01:11.120 --> 00:01:13.960]   Center of the periodic chart, you know
[00:01:13.960 --> 00:01:17.920]   I know it's real interesting that you know that that is that you know
[00:01:17.920 --> 00:01:21.520]   That's an incredible specialty and you've been doing that for all these years now
[00:01:21.520 --> 00:01:27.800]   And so one of the things that makes you know Bob really unique is that he is literally a carbon scientist
[00:01:27.800 --> 00:01:29.720]   mechanical engineering
[00:01:29.720 --> 00:01:35.880]   Specialty and carbon and even more so though, you know, he's an actual NASA scientist under the
[00:01:35.880 --> 00:01:39.000]   Lockheed missile in space you were a contractor
[00:01:39.000 --> 00:01:44.720]   For NASA under Lockheed. I believe you're a contractor for NASA under Martin, Marietta
[00:01:45.280 --> 00:01:49.680]   Aerospace and then you did your own engineering in 1990, right?
[00:01:49.680 --> 00:01:53.420]   You found it engineering innovations and started your own company
[00:01:53.420 --> 00:01:58.600]   So one of the I think one of the highlights of your career prior to getting into carbon 60
[00:01:58.600 --> 00:02:06.560]   specifically as as with as you know working with NASA is that you worked on the I guess you call it the you were a
[00:02:06.560 --> 00:02:14.040]   material specialist and process engineer overseeing the ceramic billets for the space shuttle Columbia as well as working with Mary
[00:02:14.040 --> 00:02:17.000]   Under Marietta working on the Venus Magellan probe
[00:02:17.000 --> 00:02:22.760]   That went to Venus and and so forth. So, you know, it's just really fascinating that you know
[00:02:22.760 --> 00:02:24.760]   you're literally a NASA scientist and
[00:02:24.760 --> 00:02:29.840]   If you don't mind and one of the things I'd before we get into the C 60 everybody, you know, Bob
[00:02:29.840 --> 00:02:33.000]   I was just wondering if maybe we could just chat for a little bit
[00:02:33.000 --> 00:02:36.040]   About the space shuttle Columbia, you know
[00:02:36.040 --> 00:02:43.760]   It stands out as you know one of the tragedies of our history in the space program next to the Challenger if you folks remember
[00:02:44.040 --> 00:02:46.360]   Challenger was destroyed on liftoff
[00:02:46.360 --> 00:02:51.800]   But Columbia was destroyed on reentry and and being one of the NASA engineers that worked on those
[00:02:51.800 --> 00:02:59.200]   Ceramic tiles that were you know meant to prevent the heat from building up. I was wondering, you know, could would you mind just like
[00:02:59.200 --> 00:03:03.680]   You know, what happened? I mean if from your perspective and you know like what happened to the Columbia?
[00:03:03.680 --> 00:03:08.560]   When it when it tried to you know when it went to re-enter the Earth's atmosphere and then it burned up
[00:03:09.240 --> 00:03:13.760]   Well, yeah, that's a very sad story. What happened there is
[00:03:13.760 --> 00:03:17.780]   On takeoff, you know a piece of ice a debris
[00:03:17.780 --> 00:03:24.680]   Fell and broke some of the tiles off and there were about five tiles missing and you know the thermal protection tiles
[00:03:24.680 --> 00:03:33.160]   Gosh, I have one here done in my other office here. I could grab one if you wanted to but and show you what it looks like
[00:03:34.440 --> 00:03:41.320]   But the tiles themselves it they're they're ceramic. They're made out of um, it's like cotton candy
[00:03:41.320 --> 00:03:49.560]   Except they solidify it by heating it up very hot temperatures and and it fuses all the other fibers together
[00:03:49.560 --> 00:03:55.160]   It's kind of like fiberglass a bunch of fiberglass metal fused together. So they're fairly porous and
[00:03:55.160 --> 00:04:01.040]   I mean you can I like that almost like a filter you can you can actually pull air through it and
[00:04:02.160 --> 00:04:09.040]   so they're very brittle so when that ice chunk of ice hit the tiles it broke like five of them and
[00:04:09.040 --> 00:04:16.120]   So they went up and they continued their mission. They didn't have any any, you know methodology. They said, uh, yeah
[00:04:16.120 --> 00:04:19.280]   You will try to get you back safely, but you know
[00:04:19.280 --> 00:04:26.480]   A lot of us that worked on a project new in our hearts that you know, they weren't coming back because you know
[00:04:26.480 --> 00:04:31.360]   You can survive one or two tiles missing and then that the heat wouldn't penetrate there
[00:04:31.360 --> 00:04:34.000]   They're only about six inches by six inches these tiles
[00:04:34.000 --> 00:04:40.800]   but when you get like five of them missing you got a you know, much bigger area and so that heat of of a
[00:04:40.800 --> 00:04:45.840]   Reentry come, you know, they're traveling at Mach 13 and temperatures of
[00:04:45.840 --> 00:04:51.760]   2300 Fahrenheit on the outside of that and you know of this of a shuttle tiles
[00:04:51.760 --> 00:04:55.120]   That's what they have to withstand for a period of 15 minutes
[00:04:55.680 --> 00:04:57.840]   So when they came back and reentered
