
[00:00:00.000 --> 00:00:03.140]   Aloha everyone and welcome to another tinker's academy video
[00:00:03.140 --> 00:00:09.720]   I'm your host calmer and this video is a tutorial on how to use the new Layla Super capsule now
[00:00:09.720 --> 00:00:12.920]   This is a limited edition new product that's on the website
[00:00:12.920 --> 00:00:16.360]   And we're getting a lot of questions about how to use it from new members
[00:00:16.360 --> 00:00:21.160]   So I thought I'd go ahead and put together a tutorial for you to kind of help you understand what it is and how to use it
[00:00:21.160 --> 00:00:22.840]   The first thing I want to do though
[00:00:22.840 --> 00:00:28.200]   It's really kind of just level set for those of you who are new to Layla products and exactly what a capsule is in
[00:00:28.280 --> 00:00:33.160]   In terms of a quantum energy device. So just kind of a little diagram here then over here on the left
[00:00:33.160 --> 00:00:36.780]   I'll basically is your blank capsule without any spheres
[00:00:36.780 --> 00:00:40.280]   Which is pretty much equal to the strength of one of the cards
[00:00:40.280 --> 00:00:46.660]   And so now if you take a look at the concept of strength, you know, like how much quantum energy is in a particular object
[00:00:46.660 --> 00:00:52.000]   You can just simply just go by how big the field is, you know, so if you know, it's a tiny field
[00:00:52.000 --> 00:00:58.000]   It's kind of a low strength. It's a really big field. It's a really strong strength, you know, that sort of concept
[00:00:58.000 --> 00:01:04.680]   So just kind of give you an idea that an empty capsule is pretty much the same as a as a card that you will find there on the website
[00:01:04.680 --> 00:01:07.460]   And so the field is about four inches about ten centimeters
[00:01:07.460 --> 00:01:12.000]   So, you know, when you're using these types of things, you know, if using a card or the blank capsule
[00:01:12.000 --> 00:01:17.680]   You know, you want to keep it close to your body in other words because the field is only four inches now
[00:01:17.680 --> 00:01:22.840]   The spheres themselves are quite powerful and then the idea of the spheres now because it's a sphere
[00:01:23.000 --> 00:01:30.240]   It radiates energy out in 360 degrees, and so it has its own little bubble around it that creates a field around the around the sphere
[00:01:30.240 --> 00:01:35.160]   I don't actually know I've never it's never been actually reported how big the field is of one single sphere
[00:01:35.160 --> 00:01:37.280]   So I'm sorry. I can't provide that information
[00:01:37.280 --> 00:01:43.800]   However, I do know that when you take all five of the spheres that come with the capsule and you put them inside the capsule
[00:01:43.800 --> 00:01:50.960]   Then it's gonna radiate out in 360 degrees all around it and form it like an energy bubble or an energy field and all air
[00:01:50.960 --> 00:01:54.120]   You know all around it and that field size is six feet
[00:01:54.120 --> 00:01:58.640]   So it's gonna radiate out, you know three feet from you if you're wearing it in any direction
[00:01:58.640 --> 00:02:05.600]   And that's gonna be the field that the quantum energy is in and then when the concept of frequency comes into play
[00:02:05.600 --> 00:02:08.440]   Now, I've only just mentioned pure just quantum natural energy
[00:02:08.440 --> 00:02:16.000]   But if you add a frequency to it in the form of embedding that frequency into the actual capsule itself or using a foil
[00:02:16.000 --> 00:02:23.360]   A piece of foil, which I'll show you how to do in a minute here. If you put a foil inside there or you embed frequency into the capsule itself
[00:02:23.360 --> 00:02:30.800]   Then what happens is that all of that energy all those little spheres are gonna just radiate out broadcast emit energy out
[00:02:30.800 --> 00:02:36.320]   And 360 degrees and it's gonna just basically broadcast that frequency into that field
[00:02:36.320 --> 00:02:42.960]   And that's how you combine the idea of a quantum energy device with frequency and they they go together quite well
[00:02:42.960 --> 00:02:47.080]   And that's so that's really kind of how it works from a from a technical standpoint
[00:02:47.080 --> 00:02:51.320]   And that's what's happening there. So now the idea of what the lay like what capsules are
[00:02:51.320 --> 00:02:54.640]   Out there on the on the product site up until now
[00:02:54.640 --> 00:02:58.600]   There's basically been three capsules that have been available for purchase
[00:02:58.600 --> 00:03:04.320]   And the most famous one is the heel capsule and that's basically got it's just a capsule
[00:03:04.320 --> 00:03:09.480]   That's got the heel frequency embedded in the actual shell of the capsule the again the
[00:03:10.000 --> 00:03:13.760]   Spheres act like little you know power generators acute quantum energy generators
[00:03:13.760 --> 00:03:17.680]   And so this the capsule itself has been embedded with the sphere frequent
[00:03:17.680 --> 00:03:19.160]   I'm sorry
[00:03:19.160 --> 00:03:23.720]   The heel frequency and then for the men's booster or the woman's booster same thing
[00:03:23.720 --> 00:03:27.760]   It's a capsule with the actual frequency embedded in the capsule itself
[00:03:27.760 --> 00:03:33.160]   And it comes with five little spheres that act as the basically the power generators for all that quantum energy
[00:03:33.160 --> 00:03:39.000]   So now there is a limited edition product right now for salesman sale on sale for a few months now
[00:03:39.000 --> 00:03:44.680]   This is the February 7th, 2023 and now it's called the super capsule and with the super capsule
[00:03:44.680 --> 00:03:50.400]   It's different and this is what's really important about this capsule is that it's only neutral quantum energy
[00:03:50.400 --> 00:03:56.360]   There's no frequency embedded in the capsule. Okay, so when you when you add the five purple spheres to it
[00:03:56.360 --> 00:04:01.400]   You basically have a neutral quantum energy capsule. That's gonna broadcast out in that six feet
[00:04:01.400 --> 00:04:06.600]   Six feet wide field and it's just pure energy. Okay, and another thing about it, too
[00:04:06.600 --> 00:04:11.000]   It's the most powerful capsule ever been provided, you know for sale
[00:04:11.000 --> 00:04:16.720]   So it's way more powerful than any of the other three capsules in terms of its level of quantum energy
[00:04:16.720 --> 00:04:23.720]   The six feet field still kind of stands in play. It hasn't been evaluated to see how much bigger that field is
[00:04:23.720 --> 00:04:27.520]   But I'm gonna you know, I'm guessing that it is gonna be bigger because it's much stronger
[00:04:27.520 --> 00:04:31.000]   But let's just stick with the six feet for the sake of discussion here
[00:04:31.000 --> 00:04:36.360]   So if you have any when you buy that thing, you know from the website, you're gonna get the five spheres
[00:04:36.360 --> 00:04:38.320]   And then you put the five spheres in of it
[00:04:38.320 --> 00:04:42.680]   And you're just gonna have a quantum energy capsule all it's gonna be pure quantum energy
[00:04:42.680 --> 00:04:46.840]   And by the way for those of you asking, you know, what are the benefits of just pure quantum energy?
[00:04:46.840 --> 00:04:50.160]   Well, if you go to the research site on the website all of those studies
[00:04:50.160 --> 00:04:55.960]   Almost all of them are based on actual just just regular quantum energy either through a block
[00:04:56.400 --> 00:05:03.320]   And so forth and and so the benefits are anywhere from EMF mitigation ATP production improvement in live blood
[00:05:03.320 --> 00:05:08.960]   You know all of those kinds of things that have been proven through third-party independent studies are based on just quantum energy
[00:05:08.960 --> 00:05:13.880]   So just wearing this thing would just quantum energy is quite a powerful thing and a very high benefit
[00:05:13.880 --> 00:05:21.920]   For your well-being now the thing about the super capsule aside from it being a neutral energy capsule with just the five spheres and
[00:05:21.920 --> 00:05:23.920]   No frequency in the capsule
[00:05:24.400 --> 00:05:27.520]   There comes it comes with a little silver sphere
[00:05:27.520 --> 00:05:30.800]   That's and this sphere is different. It's unique
[00:05:30.800 --> 00:05:37.120]   It's not like any other sphere because this sphere has been embedded with a frequency now. No other squares fears
[00:05:37.120 --> 00:05:45.960]   No other spheres have you know, actually have had any frequency. They're all neutral except this one little silver sphere that Leila cells now
[00:05:45.960 --> 00:05:48.680]   Which has been embedded with a frequency?
[00:05:48.680 --> 00:05:55.520]   So if you want to actually then take this capsule, that's just you know energy and you want to add a frequency to it
[00:05:55.520 --> 00:05:58.680]   Well, the easiest way is that it comes with the inner piece frequency
[00:05:58.680 --> 00:06:03.600]   You just swap it out for one of the purple ones put five in one silver four purple
[00:06:03.600 --> 00:06:07.240]   You put it in there and now instead of having a neutral energy capsule
[00:06:07.240 --> 00:06:09.680]   You now have a inner piece capsule, right?
[00:06:09.680 --> 00:06:13.400]   So it's going to radiate out that frequency along with all the other energy of the sphere
[00:06:13.400 --> 00:06:18.040]   So now you can have two different kinds of capsules just right out of the gate and the other thing that's really cool
[00:06:18.040 --> 00:06:22.800]   I'm going to show you today is how do you actually then make this capsule be
[00:06:22.800 --> 00:06:28.640]   You know be able to carry any frequency. Okay, so that's kind of be that's going to be what I'll be showing you next
[00:06:28.640 --> 00:06:30.280]   Okay, so that's the idea here
[00:06:30.280 --> 00:06:31.720]   You've got a neutral energy capsule
[00:06:31.720 --> 00:06:36.480]   You can add a this sphere that's got the inner piece frequency and make it an inner piece frequency
[00:06:36.480 --> 00:06:41.920]   Capsule or you can actually add any frequency and the way you do that is with a little piece of foil
[00:06:41.920 --> 00:06:45.840]   So now that you know, that's just like what I was saying here with any frequency
[00:06:45.840 --> 00:06:52.080]   You just copy the frequency to a piece of foil that you insert inside the capsule with only the purple and neutral energy spheres
[00:06:52.080 --> 00:06:55.800]   now when I say any frequency, it's basically anything that
[00:06:55.800 --> 00:07:01.000]   You can you want to use so you can use supplements you can use essential oils
[00:07:01.000 --> 00:07:03.040]   You can use any of the ladle of cards
[00:07:03.040 --> 00:07:06.280]   You know the ladle frequencies that they sell on the website or if you have a block
[00:07:06.280 --> 00:07:07.640]   You can make your own frequencies
[00:07:07.640 --> 00:07:09.760]   But the idea though is that you're gonna you know
